Listing of Array trace data
     px      py error            xout            yout   trans
 -0.500  -0.500     0   -2.985686E-03   -2.985686E-03  1.0000
 -0.500  -0.450     0   -3.529811E-03   -3.176830E-03  1.0000
 -0.500  -0.400     0   -4.037443E-03   -3.229955E-03  1.0000
 -0.500  -0.350     0   -4.501208E-03   -3.150846E-03  1.0000
 -0.500  -0.300     0   -4.914870E-03   -2.948922E-03  1.0000
 -0.500  -0.250     0   -5.273223E-03   -2.636611E-03  1.0000
 -0.500  -0.200     0   -5.572000E-03   -2.228800E-03  1.0000
 -0.500  -0.150     0   -5.807804E-03   -1.742341E-03  1.0000
 -0.500  -0.100     0   -5.978048E-03   -1.195610E-03  1.0000
 -0.500  -0.050     0   -6.080913E-03   -6.080913E-04  1.0000
 -0.500   0.000     0   -6.115320E-03    0.000000E+00  1.0000
 -0.500   0.050     0   -6.080913E-03    6.080913E-04  1.0000
 -0.500   0.100     0   -5.978048E-03    1.195610E-03  1.0000
 -0.500   0.150     0   -5.807804E-03    1.742341E-03  1.0000
 -0.500   0.200     0   -5.572000E-03    2.228800E-03  1.0000
 -0.500   0.250     0   -5.273223E-03    2.636611E-03  1.0000
 -0.500   0.300     0   -4.914870E-03    2.948922E-03  1.0000
 -0.500   0.350     0   -4.501208E-03    3.150846E-03  1.0000
 -0.500   0.400     0   -4.037443E-03    3.229955E-03  1.0000
 -0.500   0.450     0   -3.529811E-03    3.176830E-03  1.0000
 -0.500   0.500     0   -2.985686E-03    2.985686E-03  1.0000
 -0.450  -0.500     0   -3.176830E-03   -3.529811E-03  1.0000
 -0.450  -0.450     0   -3.688586E-03   -3.688586E-03  1.0000
 -0.450  -0.400     0   -4.164606E-03   -3.701872E-03  1.0000
 -0.450  -0.350     0   -4.598458E-03   -3.576579E-03  1.0000
 -0.450  -0.300     0   -4.984701E-03   -3.323134E-03  1.0000
 -0.450  -0.250     0   -5.318793E-03   -2.954885E-03  1.0000
 -0.450  -0.200     0   -5.597010E-03   -2.487560E-03  1.0000
 -0.450  -0.150     0   -5.816386E-03   -1.938795E-03  1.0000
 -0.450  -0.100     0   -5.974666E-03   -1.327703E-03  1.0000
 -0.450  -0.050     0   -6.070261E-03   -6.744734E-04  1.0000
 -0.450   0.000     0   -6.102230E-03    0.000000E+00  1.0000
 -0.450   0.050     0   -6.070261E-03    6.744734E-04  1.0000
 -0.450   0.100     0   -5.974666E-03    1.327703E-03  1.0000
 -0.450   0.150     0   -5.816386E-03    1.938795E-03  1.0000
 -0.450   0.200     0   -5.597010E-03    2.487560E-03  1.0000
 -0.450   0.250     0   -5.318793E-03    2.954885E-03  1.0000
 -0.450   0.300     0   -4.984701E-03    3.323134E-03  1.0000
 -0.450   0.350     0   -4.598458E-03    3.576579E-03  1.0000
 -0.450   0.400     0   -4.164606E-03    3.701872E-03  1.0000
 -0.450   0.450     0   -3.688586E-03    3.688586E-03  1.0000
 -0.450   0.500     0   -3.176830E-03    3.529811E-03  1.0000
 -0.400  -0.500     0   -3.229955E-03   -4.037443E-03  1.0000
 -0.400  -0.450     0   -3.701872E-03   -4.164606E-03  1.0000
 -0.400  -0.400     0   -4.139793E-03   -4.139793E-03  1.0000
 -0.400  -0.350     0   -4.538156E-03   -3.970886E-03  1.0000
 -0.400  -0.300     0   -4.892256E-03   -3.669192E-03  1.0000
 -0.400  -0.250     0   -5.198167E-03   -3.248854E-03  1.0000
 -0.400  -0.200     0   -5.452667E-03   -2.726334E-03  1.0000
 -0.400  -0.150     0   -5.653194E-03   -2.119948E-03  1.0000
 -0.400  -0.100     0   -5.797796E-03   -1.449449E-03  1.0000
 -0.400  -0.050     0   -5.885099E-03   -7.356374E-04  1.0000
 -0.400   0.000     0   -5.914290E-03    0.000000E+00  1.0000
 -0.400   0.050     0   -5.885099E-03    7.356374E-04  1.0000
 -0.400   0.100     0   -5.797796E-03    1.449449E-03  1.0000
 -0.400   0.150     0   -5.653194E-03    2.119948E-03  1.0000
 -0.400   0.200     0   -5.452667E-03    2.726334E-03  1.0000
 -0.400   0.250     0   -5.198167E-03    3.248854E-03  1.0000
 -0.400   0.300     0   -4.892256E-03    3.669192E-03  1.0000
 -0.400   0.350     0   -4.538156E-03    3.970886E-03  1.0000
 -0.400   0.400     0   -4.139793E-03    4.139793E-03  1.0000
 -0.400   0.450     0   -3.701872E-03    4.164606E-03  1.0000
 -0.400   0.500     0   -3.229955E-03    4.037443E-03  1.0000
 -0.350  -0.500     0   -3.150846E-03   -4.501208E-03  1.0000
 -0.350  -0.450     0   -3.576579E-03   -4.598458E-03  1.0000
 -0.350  -0.400     0   -3.970886E-03   -4.538156E-03  1.0000
 -0.350  -0.350     0   -4.329020E-03   -4.329020E-03  1.0000
 -0.350  -0.300     0   -4.646962E-03   -3.983110E-03  1.0000
 -0.350  -0.250     0   -4.921359E-03   -3.515257E-03  1.0000
 -0.350  -0.200     0   -5.149462E-03   -2.942550E-03  1.0000
 -0.350  -0.150     0   -5.329080E-03   -2.283891E-03  1.0000
 -0.350  -0.100     0   -5.458547E-03   -1.559585E-03  1.0000
 -0.350  -0.050     0   -5.536690E-03   -7.909557E-04  1.0000
 -0.350   0.000     0   -5.562815E-03    0.000000E+00  1.0000
 -0.350   0.050     0   -5.536690E-03    7.909557E-04  1.0000
 -0.350   0.100     0   -5.458547E-03    1.559585E-03  1.0000
 -0.350   0.150     0   -5.329080E-03    2.283891E-03  1.0000
 -0.350   0.200     0   -5.149462E-03    2.942550E-03  1.0000
 -0.350   0.250     0   -4.921359E-03    3.515257E-03  1.0000
 -0.350   0.300     0   -4.646962E-03    3.983110E-03  1.0000
 -0.350   0.350     0   -4.329020E-03    4.329020E-03  1.0000
 -0.350   0.400     0   -3.970886E-03    4.538156E-03  1.0000
 -0.350   0.450     0   -3.576579E-03    4.598458E-03  1.0000
 -0.350   0.500     0   -3.150846E-03    4.501208E-03  1.0000
 -0.300  -0.500     0   -2.948922E-03   -4.914870E-03  1.0000
 -0.300  -0.450     0   -3.323134E-03   -4.984701E-03  1.0000
 -0.300  -0.400     0   -3.669192E-03   -4.892256E-03  1.0000
 -0.300  -0.350     0   -3.983110E-03   -4.646962E-03  1.0000
 -0.300  -0.300     0   -4.261518E-03   -4.261518E-03  1.0000
 -0.300  -0.250     0   -4.501599E-03   -3.751333E-03  1.0000
 -0.300  -0.200     0   -4.701048E-03   -3.134032E-03  1.0000
 -0.300  -0.150     0   -4.858025E-03   -2.429013E-03  1.0000
 -0.300  -0.100     0   -4.971132E-03   -1.657044E-03  1.0000
 -0.300  -0.050     0   -5.039385E-03   -8.398976E-04  1.0000
 -0.300   0.000     0   -5.062201E-03    0.000000E+00  1.0000
 -0.300   0.050     0   -5.039385E-03    8.398976E-04  1.0000
 -0.300   0.100     0   -4.971132E-03    1.657044E-03  1.0000
 -0.300   0.150     0   -4.858025E-03    2.429013E-03  1.0000
 -0.300   0.200     0   -4.701048E-03    3.134032E-03  1.0000
 -0.300   0.250     0   -4.501599E-03    3.751333E-03  1.0000
 -0.300   0.300     0   -4.261518E-03    4.261518E-03  1.0000
 -0.300   0.350     0   -3.983110E-03    4.646962E-03  1.0000
 -0.300   0.400     0   -3.669192E-03    4.892256E-03  1.0000
 -0.300   0.450     0   -3.323134E-03    4.984701E-03  1.0000
 -0.300   0.500     0   -2.948922E-03    4.914870E-03  1.0000
 -0.250  -0.500     0   -2.636611E-03   -5.273223E-03  1.0000
 -0.250  -0.450     0   -2.954885E-03   -5.318793E-03  1.0000
 -0.250  -0.400     0   -3.248854E-03   -5.198167E-03  1.0000
 -0.250  -0.350     0   -3.515257E-03   -4.921359E-03  1.0000
 -0.250  -0.300     0   -3.751333E-03   -4.501599E-03  1.0000
 -0.250  -0.250     0   -3.954779E-03   -3.954779E-03  1.0000
 -0.250  -0.200     0   -4.123705E-03   -3.298964E-03  1.0000
